date,strategy,benchmark,excess
1948,0.05356,0.05297,0.00059
1949,0.46056,0.18973,0.27084
1950,0.6644,0.31525,0.34915
1951,0.44122,0.2366,0.20462
1952,0.40181,0.18308,0.21873
1953,-0.07582,-0.00956,-0.06626
1954,2.10871,0.52395,1.58476
1955,0.47611,0.31435,0.16176
1956,-0.05006,0.06341,-0.11348
1957,0.00866,-0.10769,0.11635
1958,0.97476,0.43147,0.54329
1959,0.09888,0.1196,-0.02072
1960,-0.02282,0.00403,-0.02685
1961,0.41342,0.2675,0.14592
1962,0.00756,-0.08819,0.09575
1963,0.21143,0.22696,-0.01553
1964,0.23399,0.16404,0.06995
1965,0.15715,0.12378,0.03337
1966,-0.03321,-0.10123,0.06802
1967,0.23645,0.23784,-0.00139
1968,0.1517,0.10925,0.04245
1969,-0.04996,-0.08431,0.03435
1970,0.22688,0.03847,0.18842
1971,0.14304,0.14135,0.00169
1972,0.17542,0.18847,-0.01305
1973,-0.08428,-0.14736,0.06308
1974,0.00895,-0.26465,0.2736
1975,0.23347,0.37107,-0.13759
1976,0.1768,0.23842,-0.06163
1977,-0.20184,-0.07197,-0.12987
1978,0.16463,0.06453,0.1001
1979,0.11441,0.18331,-0.0689
1980,0.34273,0.32435,0.01838
1981,-0.12709,-0.04868,-0.07841
1982,0.31841,0.21573,0.10267
1983,0.12534,0.22452,-0.09918
1984,0.00816,0.0615,-0.05333
1985,0.48002,0.31627,0.16375
1986,0.14541,0.18559,-0.04017
1987,0.29968,0.05147,0.24821
1988,0.00174,0.16446,-0.16272
1989,0.44414,0.3149,0.12924
1990,-0.0361,-0.03244,-0.00366
1991,0.18362,0.30315,-0.11954
1992,0.01992,0.07557,-0.05565
1993,0.01557,0.0972,-0.08162
1994,-0.12969,0.00397,-0.13367
1995,0.67304,0.38049,0.29255
1996,0.19022,0.22497,-0.03475
1997,0.17491,0.33475,-0.15984
1998,0.11399,0.28692,-0.17293
1999,0.0915,0.20389,-0.1124
2000,-0.2153,-0.09742,-0.11789
2001,-0.03773,-0.11759,0.07986
2002,-0.11622,-0.21585,0.09963
2003,0.26127,0.28182,-0.02054
2004,0.00119,0.10698,-0.10579
2005,-0.07122,0.04828,-0.1195
2006,0.1392,0.15845,-0.01925
2007,-0.143,0.05146,-0.19446
2008,-0.09464,-0.36795,0.27331
2009,0.23693,0.26352,-0.02659
2010,0.05133,0.15056,-0.09923
2011,-0.10764,0.01895,-0.12659
2012,0.01746,0.1599,-0.14245
2013,0.78069,0.32308,0.45762
2014,0.11464,0.13464,-0.02
2015,-0.23311,0.01234,-0.24545
2016,0.09996,0.11998,-0.02002
2017,0.61134,0.21705,0.39429
2018,-0.21371,-0.04569,-0.16802
2019,0.21407,0.31224,-0.09817
2020,-0.04503,0.18332,-0.22834
2021,0.48334,0.28729,0.19605
2022,-0.22991,-0.18175,-0.04816
2023,0.22709,0.26176,-0.03466
2024,0.39907,0.24886,0.1502
2025,0.05386,0.17489,-0.12103
