year,trend_family,target_vol,max_exposure,vol_window,band,leverage,train_sharpe
1948,fast,0.12,1.5,120,0.2,3.0,0.857
1949,fast,0.12,1.5,120,0.2,2.997,0.833
1950,fast,0.12,1.5,120,0.2,3.0,0.88
1951,fast,0.12,1.5,120,0.2,2.758,0.921
1952,fast,0.12,1.5,120,0.2,2.57,0.954
1953,fast,0.12,1.5,120,0.2,2.163,0.993
1954,fast,0.12,1.5,120,0.2,1.886,0.937
1955,fast,0.12,1.5,120,0.2,1.686,1.124
1956,fast,0.12,1.5,120,0.2,1.621,1.14
1957,fast,0.12,1.5,120,0.2,1.624,1.093
1958,fast,0.12,1.5,120,0.2,1.548,1.063
1959,fast,0.12,1.5,120,0.2,1.35,1.16
1960,fast,0.12,1.5,120,0.2,1.226,1.138
1961,fast,0.12,1.5,120,0.2,1.156,1.1
1962,fast,0.12,1.5,120,0.2,1.115,1.143
1963,fast,0.12,1.5,120,0.2,1.148,1.122
1964,fast,0.12,1.5,120,0.2,1.207,1.132
1965,fast,0.12,1.5,120,0.2,1.208,1.15
1966,fast,0.12,1.5,120,0.2,1.145,1.151
1967,fast,0.12,1.5,120,0.2,1.108,1.113
1968,fast,0.12,1.5,120,0.2,1.031,1.125
1969,fast,0.12,1.5,120,0.2,0.993,1.121
1970,fast,0.12,1.5,120,0.2,0.996,1.073
1971,fast,0.15,1.5,120,0.1,1.057,1.087
1972,fast,0.15,1.5,120,0.1,1.061,1.084
1973,fast,0.15,1.5,120,0.1,1.056,1.085
1974,fast,0.15,1.5,120,0.1,1.102,1.037
1975,fast,0.15,1.5,120,0.2,1.247,1.012
1976,fast,0.15,1.5,120,0.1,1.237,1.015
1977,fast,0.15,1.5,120,0.1,1.319,1.01
1978,fast,0.15,1.5,120,0.1,1.263,0.955
1979,fast,0.15,1.5,120,0.1,1.255,0.946
1980,fast,0.15,1.5,120,0.1,1.258,0.927
1981,fast,0.15,1.5,120,0.1,1.354,0.929
1982,fast,0.15,1.5,120,0.1,1.399,0.877
1983,fast,0.15,1.5,120,0.1,1.29,0.879
1984,fast,0.15,1.5,120,0.1,1.299,0.867
1985,fast,0.15,1.5,120,0.1,1.314,0.843
1986,fast,0.15,1.5,120,0.1,1.288,0.866
1987,fast,0.15,1.5,120,0.1,1.233,0.852
1988,fast,0.15,1.5,120,0.1,1.37,0.86
1989,fast,0.15,1.5,120,0.1,1.412,0.842
1990,fast,0.15,1.5,120,0.1,1.358,0.851
1991,fast,0.15,1.5,120,0.1,1.348,0.827
1992,fast,0.12,1.5,120,0.2,1.343,0.826
1993,fast,0.12,1.5,120,0.2,1.343,0.813
1994,fast,0.12,1.5,120,0.2,1.289,0.798
1995,fast,0.15,1.5,120,0.1,1.215,0.767
1996,fast,0.12,1.5,120,0.2,1.181,0.808
1997,fast,0.12,1.5,120,0.2,1.17,0.807
1998,fast,0.12,1.5,120,0.2,1.175,0.802
1999,fast,0.12,1.5,120,0.2,1.227,0.798
2000,fast,0.12,1.5,120,0.2,1.264,0.793
2001,fast,0.15,1.5,120,0.1,1.396,0.753
2002,fast,0.15,1.5,120,0.1,1.445,0.74
2003,fast,0.12,1.5,120,0.2,1.53,0.725
2004,fast,0.12,1.5,120,0.2,1.471,0.735
2005,fast,0.12,1.5,120,0.2,1.536,0.726
2006,fast,0.12,1.5,120,0.2,1.553,0.709
2007,fast,0.12,1.5,120,0.2,1.493,0.707
2008,fast,0.12,1.5,120,0.2,1.386,0.681
2009,fast,0.15,1.5,120,0.1,1.513,0.667
2010,fast,0.15,1.5,120,0.1,1.702,0.674
2011,fast,0.15,1.5,120,0.1,1.708,0.672
2012,fast,0.15,1.5,120,0.1,1.758,0.658
2013,fast,0.15,1.5,120,0.2,1.794,0.654
2014,fast,0.15,1.5,120,0.2,1.694,0.68
2015,mid,0.15,1.5,120,0.2,1.672,0.679
2016,mid,0.15,1.5,120,0.2,1.749,0.662
2017,mid,0.15,1.5,120,0.2,1.86,0.664
2018,mid,0.15,1.5,120,0.2,1.78,0.686
2019,mid,0.15,1.5,120,0.2,1.717,0.663
2020,mid,0.15,1.5,120,0.2,1.695,0.667
2021,mid,0.15,1.5,120,0.2,1.865,0.652
2022,mid,0.15,1.5,120,0.2,1.753,0.667
2023,mid,0.15,1.5,120,0.2,1.626,0.648
2024,mid,0.15,1.5,120,0.2,1.769,0.653
2025,mid,0.15,1.5,120,0.2,1.588,0.663
