year,leverage
1965,3.0
1966,3.0
1967,3.0
1968,3.0
1969,3.0
1970,3.0
1971,3.0
1972,3.0
1973,3.0
1974,3.0
1975,3.0
1976,3.0
1977,3.0
1978,3.0
1979,3.0
1980,3.0
1981,2.634
1982,2.633
1983,2.588
1984,2.538
1985,2.304
1986,2.173
1987,2.176
1988,2.42
1989,2.36
1990,2.413
1991,2.734
1992,2.794
1993,2.999
1994,3.0
1995,2.948
1996,3.0
1997,3.0
1998,2.91
1999,3.0
2000,3.0
2001,3.0
2002,3.0
2003,3.0
2004,3.0
2005,3.0
2006,3.0
2007,3.0
2008,3.0
2009,3.0
2010,3.0
2011,3.0
2012,3.0
2013,2.834
2014,2.999
2015,3.0
2016,3.0
2017,3.0
2018,3.0
2019,3.0
2020,3.0
2021,3.0
2022,3.0
2023,3.0
2024,3.0
2025,3.0
