date,equity,bond,gold
1965-01-31,0.0,0.0,0.0
1965-02-28,0.1377,1.3436,0.0
1965-03-31,0.137,1.3518,0.0
1965-04-30,0.1306,1.4241,0.0
1965-05-31,0.1278,1.4406,0.0
1965-06-30,0.1374,1.3955,0.0
1965-07-31,0.0,1.3977,0.0
1965-08-31,0.0477,1.4269,1.43
1965-09-30,0.1394,1.3844,0.0
1965-10-31,0.1415,1.3092,0.0
1965-11-30,0.1325,1.2465,0.0
1965-12-31,0.1607,0.7916,0.0
1966-01-31,0.1545,0.0,0.0
1966-02-28,0.1418,0.0,0.0
1966-03-31,0.1523,0.0,0.0
1966-04-30,0.1009,0.0,0.0
1966-05-31,0.1624,0.2387,0.0
1966-06-30,0.0,0.7288,0.0
1966-07-31,0.0,0.7327,0.0
1966-08-31,0.0,0.0,0.0
1966-09-30,0.0,0.0,0.0
1966-10-31,0.0,0.0,0.0
1966-11-30,0.0,0.5805,0.0
1966-12-31,0.0459,0.567,0.0
1967-01-31,0.0465,0.4589,0.0
1967-02-28,0.1243,0.4085,0.0
1967-03-31,0.1244,0.4083,0.0
1967-04-30,0.1222,0.4059,0.0
1967-05-31,0.1136,0.3854,0.0
1967-06-30,0.1093,0.2438,0.0
1967-07-31,0.1095,0.24,0.0
1967-08-31,0.1015,0.1124,0.0
1967-09-30,0.1018,0.0,0.0
1967-10-31,0.1016,0.0,0.0
1967-11-30,0.0945,0.0,0.0
1967-12-31,0.0901,0.0,2.6209
1968-01-31,0.0816,0.0,2.6573
1968-02-29,0.0908,0.285,1.8728
1968-03-31,0.0,0.5706,1.8751
1968-04-30,0.0,0.3398,1.6559
1968-05-31,0.3392,1.1141,1.5466
1968-06-30,0.4543,0.0,1.0843
1968-07-31,0.4729,1.4348,1.0923
1968-08-31,0.4975,1.4557,1.0467
1968-09-30,0.5024,1.4537,0.6959
1968-10-31,0.5064,1.4725,1.0212
1968-11-30,0.5182,1.4929,0.6592
1968-12-31,0.5132,1.5079,0.9788
1969-01-31,0.5139,0.0,0.9868
1969-02-28,0.5156,0.0,0.9776
1969-03-31,0.0,0.0,0.9661
1969-04-30,0.3353,0.0,0.9676
1969-05-31,0.5037,1.0181,0.9692
1969-06-30,0.5206,0.5046,0.9655
1969-07-31,0.0,0.0,0.0
1969-08-31,0.0,0.0,0.6086
1969-09-30,0.0,0.0,0.0
1969-10-31,0.0,0.0,0.0
1969-11-30,0.1831,0.0,0.0
1969-12-31,0.0,0.0,0.0
1970-01-31,0.0,0.0,0.0
1970-02-28,0.0,0.0,0.0
1970-03-31,0.0,1.5863,0.0
1970-04-30,0.0,1.5711,0.0
1970-05-31,0.0,1.5823,0.2781
1970-06-30,0.0,0.0,0.2837
1970-07-31,0.0,0.0,0.0
1970-08-31,0.0,1.5312,0.0
1970-09-30,0.1941,1.5378,0.0
1970-10-31,0.5876,1.5354,0.8771
1970-11-30,0.5986,1.5552,0.8462
1970-12-31,0.6099,1.5234,0.8667
1971-01-31,0.6167,1.4899,0.8934
1971-02-28,0.6174,1.4896,0.893
1971-03-31,0.6243,1.4876,0.8881
1971-04-30,0.628,1.4626,0.9094
1971-05-31,0.6452,1.4451,0.9097
1971-06-30,0.6416,0.9235,0.9731
1971-07-31,0.6428,0.928,0.9652
1971-08-31,0.4237,0.4636,0.9738
1971-09-30,0.6395,0.9368,0.9554
1971-10-31,0.4374,1.3716,0.9722
1971-11-30,0.0,1.3669,0.9835
1971-12-31,0.0,1.3578,0.985
1972-01-31,0.6279,1.38,0.9921
1972-02-29,0.6409,1.4104,0.9487
1972-03-31,0.6513,1.415,0.9338
1972-04-30,0.6541,1.4148,0.9311
1972-05-31,0.6564,0.9436,0.9282
1972-06-30,0.6872,1.4902,0.8227
1972-07-31,0.7124,1.5323,0.7553
1972-08-31,0.7325,1.5319,0.7355
1972-09-30,0.7331,1.5242,0.7427
1972-10-31,0.7329,0.0,0.7269
1972-11-30,0.7378,1.0211,0.7306
1972-12-31,0.7304,1.5073,0.5082
1973-01-31,0.7065,1.5234,0.5134
1973-02-28,0.738,1.5014,0.7606
1973-03-31,0.4937,1.5849,0.6746
1973-04-30,0.5018,1.0791,0.6286
1973-05-31,0.0,1.6126,0.5984
1973-06-30,0.0,1.0988,0.552
1973-07-31,0.0,1.1035,0.5068
1973-08-31,0.2856,0.0,0.4944
1973-09-30,0.0,0.0,0.4656
1973-10-31,0.5869,1.656,0.3091
1973-11-30,0.5967,1.641,0.3093
1973-12-31,0.0,1.7621,0.1542
1974-01-31,0.0,1.8032,0.4301
1974-02-28,0.0,1.8135,0.3964
1974-03-31,0.0,1.8279,0.3803
1974-04-30,0.0,1.2438,0.3626
1974-05-31,0.0,0.0,0.3674
1974-06-30,0.0,0.0,0.3347
1974-07-31,0.0,0.6456,0.2205
1974-08-31,0.0,0.0,0.2184
1974-09-30,0.0,0.0,0.2198
1974-10-31,0.0,0.0,0.2075
1974-11-30,0.0,2.1937,0.3184
1974-12-31,0.0,2.1867,0.3194
1975-01-31,0.0,2.143,0.327
1975-02-28,0.328,2.1802,0.3278
1975-03-31,0.4873,2.1828,0.3299
1975-04-30,0.4989,2.1628,0.3382
1975-05-31,0.5192,0.7098,0.2342
1975-06-30,0.5206,1.4137,0.1196
1975-07-31,0.5244,2.106,0.0
1975-08-31,0.5185,2.1087,0.0
1975-09-30,0.3524,0.0,0.0
1975-10-31,0.3452,0.0,0.0
1975-11-30,0.5228,2.1103,0.0
1975-12-31,0.5204,2.1151,0.0
1976-01-31,0.5221,2.1142,0.0
1976-02-29,0.5079,2.1217,0.0
1976-03-31,0.5051,2.1182,0.0
1976-04-30,0.5022,2.1104,0.0
1976-05-31,0.5084,2.0999,0.0
1976-06-30,0.514,2.0794,0.0
1976-07-31,0.5068,2.0593,0.0
1976-08-31,0.5047,2.0701,0.0
1976-09-30,0.4987,2.0749,0.0
1976-10-31,0.4926,2.0871,0.0
1976-11-30,0.4843,2.1004,0.0
1976-12-31,0.34,2.0859,0.4041
1977-01-31,0.5251,2.0393,0.4356
1977-02-28,0.3435,1.9922,0.4926
1977-03-31,0.0,1.9509,0.5412
1977-04-30,0.0,1.9508,0.5491
1977-05-31,0.0,1.9651,0.5404
1977-06-30,0.0,1.9591,0.546
1977-07-31,0.4951,1.9521,0.3685
1977-08-31,0.1657,1.9495,0.369
1977-09-30,0.0,1.9336,0.3743
1977-10-31,0.0,1.9053,0.5515
1977-11-30,0.0,1.8538,0.5351
1977-12-31,0.0,1.8077,0.5894
1978-01-31,0.3996,1.818,0.5827
1978-02-28,0.0,0.5955,0.5638
1978-03-31,0.0,0.5938,0.5583
1978-04-30,0.0,0.6038,0.5431
1978-05-31,0.5898,0.6307,0.5181
1978-06-30,0.5972,0.0,0.5183
1978-07-31,0.5982,0.0,0.5078
1978-08-31,0.6076,0.0,0.5026
1978-09-30,0.6054,1.9158,0.4787
1978-10-31,0.6018,1.8769,0.5213
1978-11-30,0.0,1.9206,0.5098
1978-12-31,0.3857,1.9407,0.4807
1979-01-31,0.3874,0.0,0.3241
1979-02-28,0.6252,0.0,0.4598
1979-03-31,0.6216,1.9267,0.4517
1979-04-30,0.6086,1.9413,0.4501
1979-05-31,0.5992,1.9525,0.4483
1979-06-30,0.5783,1.9941,0.4276
1979-07-31,0.6086,1.9486,0.4428
1979-08-31,0.6044,1.9377,0.4579
1979-09-30,0.5845,1.9324,0.4832
1979-10-31,0.5994,1.9687,0.4319
1979-11-30,0.4502,0.0,0.4952
1979-12-31,0.6639,0.0,0.5113
1980-01-31,0.6639,0.0,0.4616
1980-02-29,0.7033,0.0,0.2945
1980-03-31,0.8803,0.0,0.3641
1980-04-30,0.0,0.0,0.3528
1980-05-31,0.6256,0.5548,0.2647
1980-06-30,1.0166,1.5492,0.2894
1980-07-31,1.0306,1.5385,0.4309
1980-08-31,1.02,1.5433,0.4367
1980-09-30,1.0417,1.5174,0.4408
1980-10-31,1.0424,1.0109,0.4413
1980-11-30,1.0573,1.0045,0.436
1980-12-31,1.0339,0.0,0.2977
1981-01-31,1.0304,0.0,0.0
1981-02-28,0.9163,0.0,0.0
1981-03-31,0.9288,0.0,0.0
1981-04-30,0.9286,0.4435,0.0
1981-05-31,0.6328,0.0,0.0
1981-06-30,0.9498,0.0,0.0
1981-07-31,0.9659,1.2924,0.0
1981-08-31,0.656,0.0,0.0
1981-09-30,0.0,0.0,0.0
1981-10-31,0.0,0.0,0.0
1981-11-30,0.0,0.0,0.0
1981-12-31,1.0441,1.193,0.0
1982-01-31,0.3459,1.1981,0.0
1982-02-28,0.3487,1.1878,0.0
1982-03-31,0.0,1.1943,0.0
1982-04-30,0.0,1.1792,0.0
1982-05-31,0.0,1.1838,0.0
1982-06-30,0.0,1.1841,0.0
1982-07-31,0.0,1.1816,0.0
1982-08-31,0.0,1.1793,0.0
1982-09-30,1.0221,1.1944,0.2775
1982-10-31,1.0308,1.1855,0.4164
1982-11-30,1.0246,1.1773,0.4309
1982-12-31,1.0258,1.1769,0.43
1983-01-31,1.0217,1.1737,0.4374
1983-02-28,0.9432,1.0775,0.5672
1983-03-31,0.9146,1.1243,0.549
1983-04-30,0.9572,1.0918,0.3593
1983-05-31,0.923,1.1309,0.3561
1983-06-30,0.8982,1.1721,0.3451
1983-07-31,0.8864,1.1539,0.0
1983-08-31,0.8889,0.3819,0.0
1983-09-30,0.8807,0.0,0.0
1983-10-31,0.8755,0.3866,0.0
1983-11-30,0.8728,1.1635,0.0
1983-12-31,0.8963,1.1593,0.0
1984-01-31,0.8936,1.1431,0.0
1984-02-29,0.8872,1.1133,0.0
1984-03-31,0.0,1.1245,0.0
1984-04-30,0.0,0.743,0.1822
1984-05-31,0.5851,0.0,0.0
1984-06-30,0.0,0.0,0.0
1984-07-31,0.0,0.0,0.0
1984-08-31,0.0,0.0,0.0
1984-09-30,0.8222,1.1526,0.0
1984-10-31,0.8315,1.1389,0.0
1984-11-30,0.8392,1.1326,0.0
1984-12-31,0.7895,1.2112,0.0
1985-01-31,0.7944,1.2155,0.0
1985-02-28,0.6918,1.1387,0.0
1985-03-31,0.7135,1.1218,0.0
1985-04-30,0.707,1.1142,0.0
1985-05-31,0.7108,1.1057,0.1625
1985-06-30,0.7209,1.092,0.1637
1985-07-31,0.7219,1.0886,0.1645
1985-08-31,0.7231,1.0789,0.1674
1985-09-30,0.754,1.0662,0.484
1985-10-31,0.4613,1.0346,0.5775
1985-11-30,0.6782,1.1142,0.5118
1985-12-31,0.6681,1.1172,0.3458
1986-01-31,0.6642,1.0918,0.3654
1986-02-28,0.628,1.0274,0.5181
1986-03-31,0.6132,1.0311,0.5292
1986-04-30,0.6036,0.9395,0.6303
1986-05-31,0.6216,0.9172,0.6346
1986-06-30,0.6252,0.9022,0.646
1986-07-31,0.6152,0.9044,0.6538
1986-08-31,0.3962,0.9237,0.6555
1986-09-30,0.5839,0.9707,0.6189
1986-10-31,0.1908,1.013,0.588
1986-11-30,0.5661,1.0098,0.5976
1986-12-31,0.5684,1.0206,0.5844
1987-01-31,0.5627,1.0271,0.3891
1987-02-28,0.5233,1.0515,0.6009
1987-03-31,0.5307,1.041,0.4027
1987-04-30,0.5232,1.0567,0.5959
1987-05-31,0.5473,0.0,0.6091
1987-06-30,0.5665,0.0,0.5969
1987-07-31,0.5642,0.0,0.594
1987-08-31,0.557,0.0,0.6221
1987-09-30,0.5798,0.0,0.6116
1987-10-31,0.5868,0.0,0.6315
1987-11-30,0.0,0.0,0.6801
1987-12-31,0.0,0.6918,0.6887
1988-01-31,0.0,0.6818,0.7147
1988-02-29,0.0,1.1182,0.8143
1988-03-31,0.1668,1.1383,0.0
1988-04-30,0.1646,1.1381,0.0
1988-05-31,0.1647,1.1303,0.0
1988-06-30,0.1642,0.7505,0.0
1988-07-31,0.483,1.1482,0.0
1988-08-31,0.4853,0.7689,0.0
1988-09-30,0.3218,0.7672,0.0
1988-10-31,0.4887,1.1522,0.0
1988-11-30,0.4909,1.1526,0.0
1988-12-31,0.491,1.1601,0.0
1989-01-31,0.4875,1.173,0.0
