date,戦略,S&P500,差
1965,-1.01,12.38,-13.39
1966,2.63,-10.12,12.75
1967,3.98,23.78,-19.8
1968,21.57,10.93,10.64
1969,-7.34,-8.43,1.09
1970,17.82,3.85,13.98
1971,21.31,14.13,7.17
1972,49.6,18.85,30.75
1973,18.21,-14.74,32.95
1974,26.26,-26.47,52.72
1975,-5.62,37.11,-42.73
1976,40.4,23.84,16.56
1977,-1.76,-7.2,5.44
1978,0.05,6.45,-6.4
1979,31.11,18.33,12.78
1980,17.94,32.44,-14.49
1981,-12.59,-4.87,-7.72
1982,65.21,21.57,43.63
1983,6.9,22.45,-15.55
1984,3.65,6.15,-2.5
1985,42.81,31.63,11.18
1986,38.94,18.56,20.38
1987,9.27,5.15,4.13
1988,-2.99,16.45,-19.44
1989,34.36,31.49,2.87
1990,-14.77,-3.24,-11.53
1991,25.46,30.32,-4.86
1992,9.15,7.56,1.6
1993,32.41,9.72,22.69
1994,-12.68,0.4,-13.07
1995,53.15,38.05,15.11
1996,8.21,22.5,-14.29
1997,29.22,33.48,-4.25
1998,19.34,28.69,-9.36
1999,-6.46,20.39,-26.85
2000,8.39,-9.74,18.13
2001,6.34,-11.76,18.09
2002,30.38,-21.58,51.97
2003,26.53,28.18,-1.65
2004,11.92,10.7,1.22
2005,3.69,4.83,-1.14
2006,29.68,15.85,13.83
2007,17.17,5.15,12.02
2008,31.06,-36.8,67.86
2009,21.14,26.35,-5.21
2010,22.48,15.06,7.42
2011,34.81,1.89,32.91
2012,8.85,15.99,-7.14
2013,14.76,32.31,-17.54
2014,15.07,13.46,1.6
2015,-9.29,1.23,-10.53
2016,9.02,12.0,-2.98
2017,10.83,21.71,-10.88
2018,-6.09,-4.57,-1.52
2019,34.05,31.22,2.83
2020,49.32,18.33,30.99
2021,4.42,28.73,-24.31
2022,-10.75,-18.18,7.42
2023,7.08,26.18,-19.09
2024,34.2,24.89,9.31
2025,63.05,17.49,45.56
